scope,attack,success,total,rate
all,deterministic_student,80,120,0.6666666666666666
all,transcript_simulator,80,120,0.6666666666666666
all,auxiliary_student,100,120,0.8333333333333334
group=normal,deterministic_student,20,40,0.5
group=normal,transcript_simulator,20,40,0.5
group=normal,auxiliary_student,20,40,0.5
group=proxy_cluster,deterministic_student,20,40,0.5
group=proxy_cluster,transcript_simulator,20,40,0.5
group=proxy_cluster,auxiliary_student,40,40,1.0
group=fraudulent,deterministic_student,40,40,1.0
group=fraudulent,transcript_simulator,40,40,1.0
group=fraudulent,auxiliary_student,40,40,1.0
